Customer Details,,,,,,,,,,,,
,,,,,,,,,,,,
CustomerKey,Prefix,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner
11041,MS.,AMANDA,CARTER,10-06-2018,M,F,amanda53@adventure-works.com,"$60,000",0,Partial College,Skilled Manual,Y
11042,MS.,MEGAN,SANCHEZ,06-03-2018,M,F,megan28@adventure-works.com,"$70,000",0,Partial College,Skilled Manual,Y
11043,MR.,NATHAN,SIMMONS,2-13-2017,M,M,nathan11@adventure-works.com,"$60,000",0,Partial College,Skilled Manual,Y
11044,MR.,ADAM,FLORES,5-14-1990,M,M,adam10@adventure-works.com,"$20,000",2,Partial High School,Clerical,Y
11045,MR.,LEONARD,NARA,05-09-1991,S,M,leonard18@adventure-works.com,"$30,000",3,High School,Skilled Manual,N
11046,MRS.,CHRISTINE,YUAN,03-12-1991,M,F,christine4@adventure-works.com,"$30,000",3,High School,Skilled Manual,Y
11047,MRS.,JACLYN,LU,2-17-1991,M,F,jaclyn12@adventure-works.com,"$30,000",3,High School,Skilled Manual,N
11048,MR.,JEREMY,POWELL,11-12-1991,M,M,jeremy26@adventure-works.com,"$30,000",3,High School,Skilled Manual,Y
11049,MS.,CAROL,RAI,07-08-2021,S,F,carol8@adventure-works.com,"$40,000",0,Partial High School,Clerical,Y
11050,MR.,ALAN,ZHENG,8-27-1992,M,M,alan23@adventure-works.com,"$30,000",3,High School,Skilled Manual,Y
11051,MR.,DANIEL,JOHNSON,7-24-1992,S,M,daniel18@adventure-works.com,"$30,000",3,High School,Skilled Manual,N
11052,MRS.,HEIDI,LOPEZ,7-27-1992,S,F,heidi19@adventure-works.com,"$40,000",2,Partial College,Clerical,N
11053,MS.,ANA,PRICE,08-10-2021,M,F,ana0@adventure-works.com,"$60,000",0,Partial College,Skilled Manual,N
11054,MRS.,DEANNA,MUNOZ,2-28-1993,M,F,deanna33@adventure-works.com,"$40,000",2,Partial College,Skilled Manual,Y
11055,MR.,GILBERT,RAJE,2-23-1993,M,M,gilbert35@adventure-works.com,"$40,000",2,Partial College,Skilled Manual,Y
11056,MRS.,MICHELE,NATH,3-24-1994,M,F,michele19@adventure-works.com,"$40,000",3,Partial College,Skilled Manual,Y
11057,MR.,CARL,ANDERSEN,10-02-1994,M,M,carl12@adventure-works.com,"$70,000",2,Graduate Degree,Mgmnt,Y
11058,MR.,MARC,DIAZ,4-17-1995,M,M,marc6@adventure-works.com,"$80,000",2,Partial College,Skilled Manual,Y
11059,MRS.,ASHLEE,ANDERSEN,3-22-1995,S,F,ashlee19@adventure-works.com,"$80,000",2,Partial College,Skilled Manual,Y
11060,MR.,JON,ZHOU,03-07-1995,M,M,jon28@adventure-works.com,"$80,000",2,Partial College,Skilled Manual,Y
11061,MR.,TODD,GAO,2-17-1995,M,M,todd14@adventure-works.com,"$80,000",2,Partial College,Skilled Manual,Y
11062,MR.,NOAH,POWELL,8-22-2016,M,M,noah5@adventure-works.com,"$40,000",0,High School,Skilled Manual,Y
11063,MS.,ANGELA,MURPHY,3-27-2016,S,F,angela41@adventure-works.com,"$40,000",0,High School,Skilled Manual,Y
11064,MR.,CHASE,REED,11-26-2016,M,M,chase21@adventure-works.com,"$40,000",0,High School,Skilled Manual,Y
11065,MS.,JESSICA,HENDERSON,9-29-2014,M,F,jessica29@adventure-works.com,"$60,000",0,Partial College,Skilled Manual,N
11066,MS.,GRACE,BUTLER,11-17-2014,M,F,grace62@adventure-works.com,"$70,000",0,Partial College,Professional,Y
11067,MR.,CALEB,CARTER,9-15-2017,S,M,caleb40@adventure-works.com,"$60,000",0,Partial College,Professional,Y
11068,MRS.,TIFFANY,LIANG,09-12-1996,S,F,tiffany17@adventure-works.com,"$80,000",2,High School,Skilled Manual,Y
11069,MRS.,CAROLYN,NAVARRO,09-10-1996,S,F,carolyn30@adventure-works.com,"$80,000",2,High School,Skilled Manual,N
11070,MR.,WILLIE,RAJI,3-25-1996,M,M,willie40@adventure-works.com,"$80,000",2,High School,Skilled Manual,Y
11071,MRS.,LINDA,SERRANO,6-15-1996,S,F,linda31@adventure-works.com,"$80,000",2,High School,Skilled Manual,Y
11072,MRS.,CASEY,LUO,1-27-1996,S,F,casey6@adventure-works.com,"$80,000",2,High School,Skilled Manual,N
11073,MRS.,AMY,YE,08-04-1997,S,F,amy16@adventure-works.com,"$70,000",2,High School,Skilled Manual,Y
11074,MR.,LEVI,ARUN,8-18-1997,S,M,levi6@adventure-works.com,"$70,000",2,High School,Skilled Manual,Y
11075,MRS.,FELICIA,JIMENEZ,11-06-1998,S,F,felicia4@adventure-works.com,"$80,000",2,High School,Professional,Y
11076,MR.,BLAKE,ANDERSON,07-03-1998,S,M,blake9@adventure-works.com,"$80,000",2,High School,Professional,Y
11077,MRS.,LEAH,YE,09-09-1998,S,F,leah7@adventure-works.com,"$80,000",2,High School,Professional,N
11078,MS.,GINA,MARTIN,12-31-2014,S,F,gina1@adventure-works.com,"$40,000",0,High School,Professional,N
11079,MR.,DONALD,GONZALEZ,2-29-2000,S,M,donald20@adventure-works.com,"$160,000",0,Graduate Degree,Mgmnt,Y
11080,MR.,DAMIEN,CHANDER,07-06-2000,M,M,damien32@adventure-works.com,"$170,000",0,Graduate Degree,Mgmnt,Y
11081,MRS.,SAVANNAH,BAKER,7-14-2007,M,F,savannah39@adventure-works.com,"$120,000",2,Bachelors,Mgmnt,Y
11082,,ANGELA,BUTLER,7-25-2007,S,NA,angela17@adventure-works.com,"$130,000",0,Graduate Degree,Mgmnt,N
11083,MS.,ALYSSA,COX,03-05-2007,M,F,alyssa37@adventure-works.com,"$130,000",0,Graduate Degree,Mgmnt,Y
11084,MR.,LUCAS,PHILLIPS,09-02-1998,S,M,lucas7@adventure-works.com,"$80,000",2,Partial High School,Skilled Manual,N
11085,MRS.,EMILY,JOHNSON,07-09-1998,S,F,emily1@adventure-works.com,"$60,000",2,High School,Professional,N
11086,MR.,RYAN,BROWN,12-13-1998,M,M,ryan43@adventure-works.com,"$70,000",2,Partial College,Professional,Y
11087,MRS.,TAMARA,LIANG,9-23-1998,M,F,tamara6@adventure-works.com,"$70,000",3,Partial College,Professional,N
11089,MRS.,ABIGAIL,PRICE,1-26-1998,S,F,abigail25@adventure-works.com,"$80,000",2,Bachelors,Mgmnt,Y
11090,MR.,TREVOR,BRYANT,12-07-1998,S,M,trevor18@adventure-works.com,"$90,000",2,Partial College,Professional,Y
11091,MR.,DALTON,PEREZ,3-25-1998,M,M,dalton37@adventure-works.com,"$90,000",2,Partial College,Professional,Y
11092,MRS.,CHERYL,DIAZ,4-25-2008,M,F,cheryl4@adventure-works.com,"$90,000",2,Bachelors,Professional,Y
11093,MS.,AIMEE,HE,8-30-2008,M,F,aimee13@adventure-works.com,"$100,000",0,Graduate Degree,Mgmnt,Y
11094,MR.,CEDRIC,MA,3-22-2003,S,M,cedric15@adventure-works.com,"$70,000",1,Partial College,Skilled Manual,N
11095,MR.,CHAD,KUMAR,8-22-2003,S,M,chad9@adventure-works.com,"$70,000",1,Partial College,Skilled Manual,Y
11096,MR.,ANDRÉS,ANAND,7-31-2003,M,M,andrés18@adventure-works.com,"$60,000",1,Bachelors,Professional,Y
11097,MR.,EDWIN,NARA,10-17-2002,M,M,edwin39@adventure-works.com,"$60,000",1,Partial College,Skilled Manual,Y
11098,MRS.,MALLORY,RUBIO,4-21-2002,S,F,mallory7@adventure-works.com,"$60,000",1,Partial College,Skilled Manual,N
11099,MR.,ADAM,ROSS,2-26-2002,M,M,adam2@adventure-works.com,"$60,000",1,Bachelors,Professional,Y
11100,MRS.,LATASHA,NAVARRO,09-05-2001,S,F,latasha10@adventure-works.com,"$60,000",1,Partial College,Skilled Manual,Y
11101,MS.,ABBY,SAI,4-28-2006,S,F,abby4@adventure-works.com,"$70,000",0,Bachelors,Professional,N
11102,MRS.,JULIA,NELSON,04-11-2006,S,F,julia7@adventure-works.com,"$80,000",5,Bachelors,Professional,Y
11103,MS.,CASSIE,CHANDE,10-07-2005,S,F,cassie13@adventure-works.com,"$70,000",0,Bachelors,Professional,Y
11104,MR.,EDGAR,SARA,03-01-2005,M,M,edgar11@adventure-works.com,"$70,000",0,Bachelors,Professional,N
11105,MS.,CANDACE,FERNANDEZ,12-18-2005,S,F,candace15@adventure-works.com,"$70,000",0,Bachelors,Professional,N
11106,MR.,JESSIE,LIU,09-01-2005,S,M,jessie9@adventure-works.com,"$70,000",0,Bachelors,Professional,N
11107,MRS.,BIANCA,LIN,8-29-2000,M,F,bianca7@adventure-works.com,"$90,000",1,Bachelors,Professional,Y
11108,MS.,KARI,ALVAREZ,07-03-2004,S,F,kari25@adventure-works.com,"$70,000",0,Bachelors,Professional,N
11109,MR.,RUBEN,KAPOOR,10-25-2004,S,M,ruben1@adventure-works.com,"$70,000",0,Bachelors,Professional,N
11110,MR.,CURTIS,YANG,5-27-2003,M,M,curtis5@adventure-works.com,"$60,000",1,Partial College,Skilled Manual,Y
11111,MRS.,MEREDITH,GUTIERREZ,2-13-2003,M,F,meredith34@adventure-works.com,"$60,000",1,Partial College,Skilled Manual,Y
11112,MRS.,CRYSTAL,WANG,8-30-2003,M,F,crystal3@adventure-works.com,"$60,000",1,Partial College,Skilled Manual,Y
11113,MR.,MICHEAL,BLANCO,02-11-2003,M,M,micheal11@adventure-works.com,"$70,000",5,Bachelors,Professional,Y
11114,MRS.,LESLIE,MORENO,5-18-2003,S,F,leslie7@adventure-works.com,"$70,000",5,Partial College,Skilled Manual,Y
11115,MR.,ALVIN,CAI,02-02-2003,M,M,alvin20@adventure-works.com,"$70,000",5,Partial College,Skilled Manual,Y
11116,MR.,CLINTON,CARLSON,9-27-2003,M,M,clinton14@adventure-works.com,"$70,000",5,Partial College,Skilled Manual,Y
11117,MRS.,APRIL,DENG,02-11-2002,M,F,april1@adventure-works.com,"$70,000",5,Partial College,Skilled Manual,Y
11118,MR.,ALVIN,ZENG,6-23-1998,S,M,alvin21@adventure-works.com,"$80,000",1,Partial College,Skilled Manual,N
11119,MR.,EVAN,JAMES,3-30-1976,S,M,evan8@adventure-works.com,"$30,000",2,Partial College,Clerical,N
11121,MR.,ORLANDO,SUAREZ,11-08-2001,M,M,orlando19@adventure-works.com,"$70,000",5,Partial College,Skilled Manual,Y
11122,MR.,BYRON,VAZQUEZ,3-23-2001,M,M,byron9@adventure-works.com,"$70,000",5,Partial College,Skilled Manual,Y
11123,MR.,PHILIP,ALVAREZ,06-10-2001,M,M,philip4@adventure-works.com,"$70,000",5,Partial College,Skilled Manual,Y
11124,MR.,ROSS,JORDAN,7-17-1998,S,M,ross1@adventure-works.com,"$80,000",1,Partial College,Skilled Manual,Y
11125,MRS.,DANA,NAVARRO,3-29-1997,S,F,dana2@adventure-works.com,"$70,000",1,Partial College,Skilled Manual,Y
11126,MR.,SHAUN,CARSON,3-28-1990,M,M,shaun16@adventure-works.com,"$10,000",2,High School,Skilled Manual,N
11127,MS.,JAN,EDWARDS,10-10-2016,M,F,jan11@adventure-works.com,"$40,000",0,High School,Skilled Manual,Y
11128,MS.,SAMANTHA,LONG,11-24-2016,M,F,samantha35@adventure-works.com,"$40,000",0,High School,Skilled Manual,Y
11129,MS.,JULIA,WRIGHT,7-25-2016,S,F,julia17@adventure-works.com,"$40,000",0,High School,Skilled Manual,Y
11130,MS.,CAROLINE,RUSSELL,12-26-2020,M,F,caroline21@adventure-works.com,"$30,000",0,High School,Skilled Manual,Y
11131,MS.,AMANDA,RIVERA,03-02-2021,M,F,amanda7@adventure-works.com,"$30,000",0,High School,Skilled Manual,N
11132,MS.,MELISSA,RICHARDSON,10-16-2021,S,F,melissa31@adventure-works.com,"$30,000",0,High School,Skilled Manual,N
11133,MS.,ANGELA,GRIFFIN,8-29-2021,S,F,angela23@adventure-works.com,"$30,000",0,Partial High School,Clerical,N
11134,MR.,LARRY,TOWNSEND,2-16-1987,S,M,larry14@adventure-works.com,"$10,000",5,High School,Skilled Manual,Y
11135,MR.,MARCUS,HARRIS,10-23-2020,S,M,marcus14@adventure-works.com,"$30,000",0,Partial High School,Clerical,N
11136,MS.,BRIANNA,MORGAN,10-16-2019,S,F,brianna30@adventure-works.com,"$40,000",0,High School,Skilled Manual,N
11137,MS.,JASMINE,TAYLOR,07-10-2019,M,F,jasmine7@adventure-works.com,"$40,000",0,High School,Skilled Manual,Y
11138,MS.,LAUREN,DAVIS,09-05-2019,M,F,lauren23@adventure-works.com,"$40,000",0,High School,Skilled Manual,N
11139,MRS.,TANYA,MORENO,10-30-1979,S,F,tanya2@adventure-works.com,"$30,000",2,Partial College,Clerical,N
11140,MR.,JAVIER,ALVAREZ,02-01-2018,S,M,javier1@adventure-works.com,"$30,000",0,Partial High School,Clerical,N
11141,MS.,NICOLE,RAMIREZ,06-11-2018,M,F,nicole42@adventure-works.com,"$40,000",0,High School,Skilled Manual,N
11142,MR.,EDUARDO,PATTERSON,08-04-2018,S,M,eduardo55@adventure-works.com,"$40,000",0,High School,Skilled Manual,N
11143,MR.,JONATHAN,HENDERSON,1-25-2018,M,M,jonathan4@adventure-works.com,"$40,000",0,High School,Skilled Manual,Y
11144,MR.,EDWARD,HERNANDEZ,8-29-2020,S,M,edward48@adventure-works.com,"$40,000",0,High School,Skilled Manual,N
11145,MS.,JASMINE,COLEMAN,11-27-2020,S,F,jasmine46@adventure-works.com,"$40,000",0,High School,Skilled Manual,N
11146,MRS.,KARLA,GOEL,8-15-1980,S,F,karla20@adventure-works.com,"$40,000",2,Bachelors,Mgmnt,Y
11147,MR.,ERNEST,WU,1-26-1980,M,M,ernest6@adventure-works.com,"$60,000",2,Graduate Degree,Mgmnt,Y
11148,MR.,ROSS,VAZQUEZ,08-06-1982,M,M,ross32@adventure-works.com,"$40,000",2,Bachelors,Mgmnt,Y
11149,MR.,THEODORE,GILL,04-10-1982,M,M,theodore14@adventure-works.com,"$40,000",2,Bachelors,Mgmnt,Y
11150,MR.,RUSSELL,SHEN,03-05-1982,S,M,russell6@adventure-works.com,"$40,000",2,Bachelors,Mgmnt,Y
11151,MRS.,MELINDA,GILL,2-15-1983,S,F,melinda9@adventure-works.com,"$60,000",2,Graduate Degree,Mgmnt,N
11152,MR.,JAMES,WILLIAMS,12-30-2016,S,M,james77@adventure-works.com,"$40,000",0,High School,Skilled Manual,Y
11153,MS.,ANGELA,JAMES,6-13-2017,M,F,angela34@adventure-works.com,"$40,000",0,High School,Skilled Manual,Y
11154,MS.,MEGAN,WALKER,08-11-2017,S,F,megan25@adventure-works.com,"$40,000",0,Partial College,Skilled Manual,Y
11155,MR.,HUNTER,ROBINSON,1-15-2017,S,M,hunter50@adventure-works.com,"$40,000",0,Partial College,Skilled Manual,N
11156,MS.,MARIA,ROBERTS,1-27-2017,S,F,maria47@adventure-works.com,"$40,000",0,Partial College,Skilled Manual,N
11157,MS.,HANNAH,LONG,5-31-2016,M,F,hannah32@adventure-works.com,"$40,000",0,High School,Skilled Manual,Y
11158,MR.,JASON,WRIGHT,9-27-2016,S,M,jason46@adventure-works.com,"$40,000",0,High School,Skilled Manual,Y
11159,MS.,BRIANNA,HUGHES,09-06-2016,S,F,brianna57@adventure-works.com,"$40,000",0,High School,Skilled Manual,N
11160,MR.,MAURICE,TANG,12-29-2014,S,M,maurice4@adventure-works.com,"$40,000",0,Partial College,Skilled Manual,N
11161,MS.,EMILY,WOOD,04-12-2015,S,F,emily27@adventure-works.com,"$40,000",0,Partial College,Skilled Manual,N
11162,MR.,CHASE,COX,2-23-2015,S,M,chase10@adventure-works.com,"$40,000",0,Partial College,Skilled Manual,Y
11163,MR.,GABRIEL,WANG,12-10-2015,M,M,gabriel21@adventure-works.com,"$40,000",0,Partial College,Skilled Manual,Y
11164,MR.,DEVIN,BROOKS,4-25-2015,S,M,devin63@adventure-works.com,"$40,000",0,Partial College,Skilled Manual,N
11165,MS.,JOCELYN,ALEXANDER,07-08-2014,M,F,jocelyn18@adventure-works.com,"$60,000",0,Partial College,Skilled Manual,N
11166,MS.,ASHLEY,MARTINEZ,4-14-2013,S,F,ashley18@adventure-works.com,"$70,000",0,Partial College,Skilled Manual,N
11167,MS.,JASMINE,BARNES,7-22-2013,S,F,jasmine43@adventure-works.com,"$80,000",0,Bachelors,Mgmnt,N
11168,MR.,DAVID,RODRIGUEZ,05-05-2009,S,M,david83@adventure-works.com,"$80,000",0,Bachelors,Mgmnt,N
11169,MR.,BRYCE,RICHARDSON,06-12-2009,M,M,bryce8@adventure-works.com,"$90,000",4,Bachelors,Mgmnt,Y
11170,MRS.,CAROL,HOWARD,1-25-2009,M,F,carol5@adventure-works.com,"$90,000",4,Bachelors,Mgmnt,Y
11171,MR.,JONATHAN,HILL,9-28-2008,S,M,jonathan43@adventure-works.com,"$100,000",1,Bachelors,Mgmnt,Y
11172,MRS.,GABRIELLE,ADAMS,11-10-2008,M,F,gabrielle58@adventure-works.com,"$100,000",1,Bachelors,Mgmnt,Y
11173,MS.,SARAH,THOMAS,8-21-2008,S,F,sarah13@adventure-works.com,"$110,000",0,Graduate Degree,Mgmnt,N
11174,MR.,NICHOLAS,ROBINSON,07-02-2008,M,M,nicholas19@adventure-works.com,"$110,000",0,Graduate Degree,Mgmnt,Y
11175,MR.,LUIS,WANG,2-23-2004,S,M,luis24@adventure-works.com,"$70,000",0,Partial College,Skilled Manual,Y
11176,MR.,MASON,ROBERTS,1-14-2009,M,M,mason25@adventure-works.com,"$90,000",4,Bachelors,Mgmnt,Y
11177,MR.,JOSE,FLORES,6-24-1983,M,M,jose6@adventure-works.com,"$110,000",2,Graduate Degree,Mgmnt,Y
11178,MR.,NATHAN,JOHNSON,8-13-1984,M,M,nathan55@adventure-works.com,"$100,000",2,Graduate Degree,Mgmnt,Y
11179,MRS.,MOLLY,RODRIGUEZ,06-03-1984,M,F,molly18@adventure-works.com,"$120,000",2,Graduate Degree,Mgmnt,Y
11180,MRS.,APRIL,ANAND,12-23-1983,M,F,april18@adventure-works.com,"$160,000",1,Bachelors,Mgmnt,Y
11181,MR.,DEVIN,MARTIN,7-28-1984,M,M,devin13@adventure-works.com,"$170,000",2,Graduate Degree,Mgmnt,Y
11182,MRS.,STEPHANIE,TORRES,8-15-1985,S,F,stephanie19@adventure-works.com,"$70,000",4,Bachelors,Mgmnt,Y
11183,MRS.,JASMINE,LEE,07-05-1985,S,F,jasmine19@adventure-works.com,"$70,000",4,Bachelors,Mgmnt,Y
11184,MRS.,MEGHAN,HERNANDEZ,11-06-1985,S,F,meghan3@adventure-works.com,"$70,000",4,Bachelors,Mgmnt,Y
11185,MRS.,ASHLEY,HENDERSON,9-28-1985,S,F,ashley31@adventure-works.com,"$70,000",4,Bachelors,Mgmnt,Y
11186,MRS.,SARAH,PRICE,05-11-1985,S,F,sarah25@adventure-works.com,"$70,000",4,Bachelors,Mgmnt,Y
11187,MRS.,JENNIFER,COOPER,02-11-1985,M,F,jennifer63@adventure-works.com,"$60,000",4,Graduate Degree,Mgmnt,Y
11188,MRS.,CATHERINE,MORRIS,8-27-1985,M,F,catherine16@adventure-works.com,"$60,000",4,Graduate Degree,Mgmnt,N
11190,MR.,CARSON,BRYANT,06-12-1985,M,M,carson17@adventure-works.com,"$70,000",5,Bachelors,Mgmnt,Y
11191,MRS.,KRISTI,PEREZ,12-08-1986,S,F,kristi39@adventure-works.com,"$70,000",5,Bachelors,Mgmnt,Y
11192,MR.,JAMES,BROWN,09-03-1986,M,M,james79@adventure-works.com,"$60,000",4,Bachelors,Mgmnt,Y
11193,MR.,IAN,GRAY,02-03-1986,M,M,ian72@adventure-works.com,"$60,000",4,Bachelors,Mgmnt,Y
11194,MRS.,JACQUELINE,PRICE,5-31-1986,M,F,jacqueline0@adventure-works.com,"$60,000",4,Bachelors,Mgmnt,Y
11195,MRS.,MEGAN,HENDERSON,1-31-1987,M,F,megan55@adventure-works.com,"$60,000",5,Bachelors,Mgmnt,Y
11196,MR.,ALFREDO,ROMERO,5-28-1987,M,M,alfredo10@adventure-works.com,"$60,000",5,Bachelors,Mgmnt,Y
11197,MRS.,ANDREA,MORRIS,06-08-1987,M,F,andrea18@adventure-works.com,"$70,000",3,Bachelors,Mgmnt,N
11198,MRS.,BROOKE,SANDERS,11-16-1987,S,F,brooke3@adventure-works.com,"$70,000",4,Bachelors,Mgmnt,Y
11199,MRS.,JACQUELINE,BENNETT,10-27-1987,M,F,jacqueline1@adventure-works.com,"$70,000",4,Bachelors,Mgmnt,Y
11200,MR.,JASON,GRIFFIN,11-11-1988,M,M,jason18@adventure-works.com,"$70,000",4,Bachelors,Mgmnt,Y
11201,MRS.,AMANDA,FOSTER,08-07-1988,M,F,amanda37@adventure-works.com,"$70,000",4,Bachelors,Mgmnt,Y
11202,MRS.,ALEXIA,PRICE,8-15-1988,M,F,alexia0@adventure-works.com,"$80,000",5,Bachelors,Mgmnt,N
11203,MR.,LUIS,DIAZ,08-11-1989,M,M,luis21@adventure-works.com,"$40,000",2,High School,Professional,Y
11205,MRS.,ABBY,FERNANDEZ,7-14-1989,M,F,abby13@adventure-works.com,"$40,000",2,High School,Professional,Y
11206,MR.,BLAKE,FLORES,9-14-1989,M,M,blake60@adventure-works.com,"$60,000",2,Partial College,Professional,Y
11207,MRS.,DANIELLE,COX,07-09-1989,S,F,danielle12@adventure-works.com,"$60,000",2,Partial College,Professional,Y
11208,MRS.,MARIA,REED,1-24-1989,M,F,maria4@adventure-works.com,"$60,000",2,Bachelors,Mgmnt,Y
11209,MRS.,ALLISON,EVANS,01-02-1989,M,F,allison21@adventure-works.com,"$60,000",2,Bachelors,Mgmnt,Y
11210,MR.,EDWARD,WOOD,5-29-1989,M,M,edward50@adventure-works.com,"$70,000",4,Partial College,Professional,Y
11211,MRS.,SAMANTHA,RUSSELL,10-02-1990,M,F,samantha42@adventure-works.com,"$40,000",2,High School,Professional,Y
11212,MRS.,CHLOE,CAMPBELL,10-26-1990,M,F,chloe4@adventure-works.com,"$40,000",2,High School,Professional,Y
11213,MRS.,STEPHANIE,MURPHY,05-04-1990,S,F,stephanie11@adventure-works.com,"$60,000",2,Partial College,Professional,Y
11214,MR.,CHARLES,MILLER,10-28-1990,S,M,charles9@adventure-works.com,"$60,000",2,Partial College,Professional,Y
11215,MRS.,ANA,PERRY,06-11-1991,M,F,ana7@adventure-works.com,"$40,000",2,Partial High School,Skilled Manual,Y
